class_index,model_id,model_name,make_id,make_name,body_type,in_surveillance,sv_model_id,sv_make_name,sv_model_name,accuracy_pct,correct_samples,test_images,train_images,total_images,folder_path
22,84,BWM 2 Series,81,BWM,sedan,False,,,,50.0,7,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/81/84
23,85,BWM 3 Series GT,81,BWM,fastback,False,,,,35.29,6,17,21,38,../../compcars_cctv/extracted/data_extracted/data/image/81/85
24,86,BWM 3 Series convertible,81,BWM,hardtop convertible,False,,,,50.0,7,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/81/86
25,88,BWM 3 Series estate,81,BWM,estate,False,,,,38.1,8,21,24,45,../../compcars_cctv/extracted/data_extracted/data/image/81/88
26,89,BWM 3 Series coupe,81,BWM,sedan,False,,,,46.43,13,28,32,60,../../compcars_cctv/extracted/data_extracted/data/image/81/89
27,91,BWM 4 Series convertible,81,BWM,hardtop convertible,False,,,,57.14,8,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/81/91
28,94,BWM 5 Series GT,81,BWM,fastback,False,,,,41.46,17,41,44,85,../../compcars_cctv/extracted/data_extracted/data/image/81/94
29,100,BWM 6 Series,81,BWM,sedan,False,,,,75.86,22,29,32,61,../../compcars_cctv/extracted/data_extracted/data/image/81/100
30,101,BWM 7 Series,81,BWM,sedan,True,270,BWM,BWM 7 Series,34.88,15,43,47,90,../../compcars_cctv/extracted/data_extracted/data/image/81/101
31,103,BWM X3,81,BWM,SUV,True,269,BWM,BWM X3,54.93,39,71,72,143,../../compcars_cctv/extracted/data_extracted/data/image/81/103
32,104,BWM X4,81,BWM,SUV,False,,,,68.75,11,16,18,34,../../compcars_cctv/extracted/data_extracted/data/image/81/104
33,105,BWM X5,81,BWM,SUV,True,268,BWM,BWM X5,25.68,19,74,76,150,../../compcars_cctv/extracted/data_extracted/data/image/81/105
34,106,BWM X6,81,BWM,SUV,True,267,BWM,BWM X6,76.32,29,38,39,77,../../compcars_cctv/extracted/data_extracted/data/image/81/106
35,118,BWM 1 Series hatchback,81,BWM,hatchback,False,,,,59.38,19,32,35,67,../../compcars_cctv/extracted/data_extracted/data/image/81/118
36,124,Benz C Class,77,Benz,sedan,True,36,Benz,Benz C Class,68.66,46,67,69,136,../../compcars_cctv/extracted/data_extracted/data/image/77/124
37,126,Benz GLK Class,77,Benz,SUV,True,32,Benz,Benz GLK Class,81.48,66,81,84,165,../../compcars_cctv/extracted/data_extracted/data/image/77/126
38,127,Benz E Class,77,Benz,sports,True,26,Benz,Benz E Class,56.3,76,135,137,272,../../compcars_cctv/extracted/data_extracted/data/image/77/127
39,130,Benz C Class AMG,77,Benz,sedan,False,,,,80.0,24,30,31,61,../../compcars_cctv/extracted/data_extracted/data/image/77/130
40,132,Benz G Class AMG,77,Benz,SUV,False,,,,88.89,24,27,28,55,../../compcars_cctv/extracted/data_extracted/data/image/77/132
41,147,Benz A Class,77,Benz,hatchback,True,31,Benz,Benz A Class,37.5,9,24,27,51,../../compcars_cctv/extracted/data_extracted/data/image/77/147
42,152,Benz C Class estate,77,Benz,estate,False,,,,75.76,25,33,34,67,../../compcars_cctv/extracted/data_extracted/data/image/77/152
43,153,Benz E Class convertible,77,Benz,sedan,False,,,,62.86,22,35,36,71,../../compcars_cctv/extracted/data_extracted/data/image/77/153
44,154,Benz E Class couple,77,Benz,sedan,False,,,,54.55,24,44,46,90,../../compcars_cctv/extracted/data_extracted/data/image/77/154
45,156,Benz GL Class,77,Benz,SUV,True,33,Benz,Benz GL Class,68.0,17,25,29,54,../../compcars_cctv/extracted/data_extracted/data/image/77/156
46,159,Benz R Class,77,Benz,MPV,True,27,Benz,Benz R Class,48.48,16,33,34,67,../../compcars_cctv/extracted/data_extracted/data/image/77/159
47,160,Benz SLK Class,77,Benz,hardtop convertible,True,35,Benz,Benz SLK Class,83.87,26,31,35,66,../../compcars_cctv/extracted/data_extracted/data/image/77/160
48,162,Benz S Class,77,Benz,sedan,True,28,Benz,Benz S Class,61.22,30,49,53,102,../../compcars_cctv/extracted/data_extracted/data/image/77/162
49,187,encore,54,Buck,SUV,True,8,Buck,encore,62.07,18,29,31,60,../../compcars_cctv/extracted/data_extracted/data/image/54/187
50,188,Buick GL8 Luxury Business,54,Buck,MPV,False,,,,97.3,36,37,39,76,../../compcars_cctv/extracted/data_extracted/data/image/54/188
51,189,Buick GL8 Business,54,Buck,MPV,False,,,,83.78,31,37,39,76,../../compcars_cctv/extracted/data_extracted/data/image/54/189
52,190,Regal,54,Buck,sedan,True,11,Buck,Regal,71.62,53,74,78,152,../../compcars_cctv/extracted/data_extracted/data/image/54/190
53,191,Regal GS,54,Buck,sedan,False,,,,91.18,31,34,38,72,../../compcars_cctv/extracted/data_extracted/data/image/54/191
54,192,Lacrosse,54,Buck,sedan,False,,,,71.91,64,89,93,182,../../compcars_cctv/extracted/data_extracted/data/image/54/192
55,194,Exclle,54,Buck,sedan,True,7,Buck,Exclle,68.97,20,29,31,60,../../compcars_cctv/extracted/data_extracted/data/image/54/194
56,196,EXCELLE  GT,54,Buck,sedan,False,,,,66.67,30,45,47,92,../../compcars_cctv/extracted/data_extracted/data/image/54/196
57,197,EXCELLE  XT,54,Buck,hatchback,False,,,,73.33,33,45,48,93,../../compcars_cctv/extracted/data_extracted/data/image/54/197
58,202,Enclave,54,Buck,SUV,True,10,Buck,Enclave,47.37,9,19,21,40,../../compcars_cctv/extracted/data_extracted/data/image/54/202
59,211,Crosstour,100,Honda,fastback,True,125,Honda,Crosstour,54.05,20,37,39,76,../../compcars_cctv/extracted/data_extracted/data/image/100/211
60,212,Crider,100,Honda,sedan,True,131,Honda,Crider,58.33,7,12,14,26,../../compcars_cctv/extracted/data_extracted/data/image/100/212
61,213,Accord,100,Honda,unknown,True,129,Honda,Accord,55.56,40,72,74,146,../../compcars_cctv/extracted/data_extracted/data/image/100/213
62,249,Jade,100,Honda,hatchback,True,126,Honda,Jade,57.14,8,14,15,29,../../compcars_cctv/extracted/data_extracted/data/image/100/249
63,250,Spirior,100,Honda,sedan,True,124,Honda,Spirior,45.45,10,22,25,47,../../compcars_cctv/extracted/data_extracted/data/image/100/250
64,251,Civic,100,Honda,sedan,True,128,Honda,Civic,43.59,34,78,82,160,../../compcars_cctv/extracted/data_extracted/data/image/100/251
65,252,Honda CR-V,100,Honda,SUV,True,127,Honda,Honda CR-V,74.29,26,35,39,74,../../compcars_cctv/extracted/data_extracted/data/image/100/252
66,254,Peugeot 2008,102,Peugeot,unknown,False,,,,62.5,15,24,27,51,../../compcars_cctv/extracted/data_extracted/data/image/102/254
67,255,Peugeot 207 hatchback,102,Peugeot,hatchback,False,,,,57.58,19,33,36,69,../../compcars_cctv/extracted/data_extracted/data/image/102/255
68,256,Peugeot 207 sedan,102,Peugeot,sedan,False,,,,23.81,10,42,46,88,../../compcars_cctv/extracted/data_extracted/data/image/102/256
69,257,Peugeot 3008,102,Peugeot,SUV,True,181,Peugeot,Peugeot 3008,44.44,12,27,29,56,../../compcars_cctv/extracted/data_extracted/data/image/102/257
70,258,Peugeot 301,102,Peugeot,unknown,True,182,Peugeot,Peugeot 301,70.0,14,20,22,42,../../compcars_cctv/extracted/data_extracted/data/image/102/258
71,259,Peugeot 307 hatchback,102,Peugeot,hatchback,False,,,,79.31,23,29,32,61,../../compcars_cctv/extracted/data_extracted/data/image/102/259
72,260,Peugeot 307 sedan,102,Peugeot,sedan,False,,,,76.92,10,13,17,30,../../compcars_cctv/extracted/data_extracted/data/image/102/260
73,261,Peugeot 308,102,Peugeot,sedan,True,183,Peugeot,Peugeot 308,83.33,30,36,38,74,../../compcars_cctv/extracted/data_extracted/data/image/102/261
74,262,Peugeot 408,102,Peugeot,sedan,True,179,Peugeot,Peugeot 408,77.42,48,62,66,128,../../compcars_cctv/extracted/data_extracted/data/image/102/262
75,263,Peugeot 508,102,Peugeot,sedan,True,180,Peugeot,Peugeot 508,65.12,28,43,45,88,../../compcars_cctv/extracted/data_extracted/data/image/102/263
76,266,Peugeot 207CC,102,Peugeot,hardtop convertible,False,,,,64.0,16,25,26,51,../../compcars_cctv/extracted/data_extracted/data/image/102/266
77,267,Peugeot 308SW,102,Peugeot,estate,False,,,,60.0,12,20,21,41,../../compcars_cctv/extracted/data_extracted/data/image/102/267
78,268,Peugeot 4008,102,Peugeot,SUV,False,,,,76.19,16,21,24,45,../../compcars_cctv/extracted/data_extracted/data/image/102/268
79,269,Peugeot RCZ,102,Peugeot,sports,False,,,,50.0,15,30,33,63,../../compcars_cctv/extracted/data_extracted/data/image/102/269
80,293,Peugeot 308CC,102,Peugeot,hardtop convertible,False,,,,68.0,17,25,28,53,../../compcars_cctv/extracted/data_extracted/data/image/102/293
81,294,BYD F0,105,BYD,hatchback,True,200,BYD,BYD F0,84.44,38,45,47,92,../../compcars_cctv/extracted/data_extracted/data/image/105/294
82,296,BYD F3R,105,BYD,hatchback,False,,,,48.48,16,33,35,68,../../compcars_cctv/extracted/data_extracted/data/image/105/296
83,297,BYD F6,105,BYD,sedan,True,197,BYD,BYD F6,57.14,12,21,23,44,../../compcars_cctv/extracted/data_extracted/data/image/105/297
84,298,BYD G3,105,BYD,sedan,False,,,,44.44,8,18,21,39,../../compcars_cctv/extracted/data_extracted/data/image/105/298
85,302,BYD L3,105,BYD,sedan,True,198,BYD,BYD L3,55.56,20,36,38,74,../../compcars_cctv/extracted/data_extracted/data/image/105/302
86,303,BYD M6,105,BYD,MPV,False,,,,86.96,20,23,24,47,../../compcars_cctv/extracted/data_extracted/data/image/105/303
87,304,BYD S6,105,BYD,SUV,True,193,BYD,BYD S6,67.65,23,34,38,72,../../compcars_cctv/extracted/data_extracted/data/image/105/304
88,317,Panamera,48,Porsche,sports,True,185,Porsche,Panamera,63.46,33,52,54,106,../../compcars_cctv/extracted/data_extracted/data/image/48/317
89,319,Porsche 911,48,Porsche,sports,False,,,,68.75,44,64,67,131,../../compcars_cctv/extracted/data_extracted/data/image/48/319
90,321,Canyenne,48,Porsche,SUV,True,184,Porsche,Canyenne,58.14,25,43,47,90,../../compcars_cctv/extracted/data_extracted/data/image/48/321
91,326,Cayman,48,Porsche,sports,False,,,,88.68,47,53,56,109,../../compcars_cctv/extracted/data_extracted/data/image/48/326
92,328,BAW E Series sedan ,58,BAW,sedan,False,,,,8.33,1,12,13,25,../../compcars_cctv/extracted/data_extracted/data/image/58/328
93,342,BAW E Series hatchback,58,BAW,hatchback,False,,,,96.55,28,29,31,60,../../compcars_cctv/extracted/data_extracted/data/image/58/342
94,343,Baojun 610,82,Baojun,hatchback,False,,,,57.14,8,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/82/343
95,344,Baojun 630,82,Baojun,sedan,True,49,Baojun,Baojun 630,86.27,44,51,55,106,../../compcars_cctv/extracted/data_extracted/data/image/82/344
96,346,Lechi,82,Baojun,hatchback,False,,,,94.34,50,53,56,109,../../compcars_cctv/extracted/data_extracted/data/image/82/346
97,364,Besturn B50,76,Besturn,sedan,False,,,,50.0,28,56,59,115,../../compcars_cctv/extracted/data_extracted/data/image/76/364
98,365,Besturn B90,76,Besturn,sedan,False,,,,24.14,7,29,31,60,../../compcars_cctv/extracted/data_extracted/data/image/76/365
99,366,Besturn X80,76,Besturn,SUV,True,1,Besturn,Besturn X80,82.14,23,28,29,57,../../compcars_cctv/extracted/data_extracted/data/image/76/366
100,367,Besturn B70,76,Besturn,sedan,False,,,,57.53,42,73,76,149,../../compcars_cctv/extracted/data_extracted/data/image/76/367
101,378,Great Wall C50,150,GreatWall,sedan,True,260,GreatWall,Great Wall C50,38.89,14,36,38,74,../../compcars_cctv/extracted/data_extracted/data/image/150/378
102,380,Great Wall M2,150,GreatWall,SUV,False,,,,81.82,18,22,23,45,../../compcars_cctv/extracted/data_extracted/data/image/150/380
103,381,Great Wall M4,150,GreatWall,SUV,False,,,,92.86,26,28,32,60,../../compcars_cctv/extracted/data_extracted/data/image/150/381
104,382,Great Wall V80,150,GreatWall,MPV,False,,,,84.62,33,39,41,80,../../compcars_cctv/extracted/data_extracted/data/image/150/382
105,384,Wingle 5,150,GreatWall,pickup,False,,,,80.95,17,21,24,45,../../compcars_cctv/extracted/data_extracted/data/image/150/384
106,391,Xuanli,150,GreatWall,hatchback,True,262,GreatWall,Xuanli,77.78,21,27,28,55,../../compcars_cctv/extracted/data_extracted/data/image/150/391
107,392,Xuanli CROSS,150,GreatWall,crossover,False,,,,77.78,14,18,22,40,../../compcars_cctv/extracted/data_extracted/data/image/150/392
108,397,Benben,152,Changan,hatchback,True,188,Changan,Benben,84.62,11,13,17,30,../../compcars_cctv/extracted/data_extracted/data/image/152/397
109,398,Benben MINI,152,Changan,hatchback,False,,,,85.0,34,40,43,83,../../compcars_cctv/extracted/data_extracted/data/image/152/398
110,399,Changan CS35,152,Changan,SUV,True,190,Changan,Changan CS35,68.97,20,29,31,60,../../compcars_cctv/extracted/data_extracted/data/image/152/399
111,401,Changan CX20,152,Changan,hatchback,True,186,Changan,Changan CX20,70.37,19,27,30,57,../../compcars_cctv/extracted/data_extracted/data/image/152/401
112,405,Yidong,152,Changan,sedan,True,187,Changan,Yidong,94.29,33,35,38,73,../../compcars_cctv/extracted/data_extracted/data/image/152/405
113,406,Yuexiang V3,152,Changan,sedan,True,191,Changan,Yuexiang V3,30.77,4,13,15,28,../../compcars_cctv/extracted/data_extracted/data/image/152/406
114,407,Yuexiang V5,152,Changan,sedan,False,,,,85.71,12,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/152/407
115,409,Yuexiang hatchback,152,Changan,hatchback,False,,,,71.43,10,14,17,31,../../compcars_cctv/extracted/data_extracted/data/image/152/409
116,410,Yuexiang sedan,152,Changan,sedan,False,,,,36.36,12,33,35,68,../../compcars_cctv/extracted/data_extracted/data/image/152/410
117,411,Zhishang XT,152,Changan,hatchback,False,,,,81.82,9,11,14,25,../../compcars_cctv/extracted/data_extracted/data/image/152/411
118,412,Ruiping,152,Changan,sedan,True,189,Changan,Ruiping,20.0,2,10,12,22,../../compcars_cctv/extracted/data_extracted/data/image/152/412
119,413,Zhixiang,152,Changan,sedan,False,,,,42.86,6,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/152/413
120,419,Benben LOVE,152,Changan,hatchback,False,,,,71.43,10,14,15,29,../../compcars_cctv/extracted/data_extracted/data/image/152/419
121,434,Cross Polo,73,Volkswagen,crossover,False,,,,84.62,11,13,15,28,../../compcars_cctv/extracted/data_extracted/data/image/73/434
122,435,Polo hatchback,73,Volkswagen,hatchback,False,,,,54.84,34,62,63,125,../../compcars_cctv/extracted/data_extracted/data/image/73/435
123,436,Polo sedan,73,Volkswagen,sedan,False,,,,20.0,3,15,17,32,../../compcars_cctv/extracted/data_extracted/data/image/73/436
124,438,Cross Lavida,73,Volkswagen,crossover,True,59,Volkswagen,Cross Lavida,100.0,13,13,16,29,../../compcars_cctv/extracted/data_extracted/data/image/73/438
125,439,Gran Lavida,73,Volkswagen,hatchback,True,72,Volkswagen,Gran Lavida,21.05,4,19,21,40,../../compcars_cctv/extracted/data_extracted/data/image/73/439
126,440,Lavide,73,Volkswagen,sedan,True,71,Volkswagen,Lavide,51.92,27,52,57,109,../../compcars_cctv/extracted/data_extracted/data/image/73/440
127,441,Passat,73,Volkswagen,sedan,True,67,Volkswagen,Passat,70.73,29,41,45,86,../../compcars_cctv/extracted/data_extracted/data/image/73/441
128,442,Passat Lingyu,73,Volkswagen,sedan,False,,,,35.71,5,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/73/442
129,443,Santana,73,Volkswagen,sedan,False,,,,28.57,4,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/73/443
130,445,Touran,73,Volkswagen,MPV,True,69,Volkswagen,Touran,72.0,36,50,52,102,../../compcars_cctv/extracted/data_extracted/data/image/73/445
131,446,Tiguan,73,Volkswagen,SUV,True,78,Volkswagen,Tiguan,62.07,18,29,32,61,../../compcars_cctv/extracted/data_extracted/data/image/73/446
132,453,Volkswagen Eos,73,Volkswagen,hardtop convertible,False,,,,77.42,24,31,34,65,../../compcars_cctv/extracted/data_extracted/data/image/73/453
133,458,Golf convertible ,73,Volkswagen,convertible,False,,,,100.0,10,10,11,21,../../compcars_cctv/extracted/data_extracted/data/image/73/458
134,459,Golf estate,73,Volkswagen,estate,False,,,,56.25,9,16,19,35,../../compcars_cctv/extracted/data_extracted/data/image/73/459
135,460,Phaeton,73,Volkswagen,sedan,True,64,Volkswagen,Phaeton,91.67,33,36,39,75,../../compcars_cctv/extracted/data_extracted/data/image/73/460
136,461,Beetle,73,Volkswagen,fastback,True,60,Volkswagen,Beetle,72.09,31,43,47,90,../../compcars_cctv/extracted/data_extracted/data/image/73/461
137,463,Multivan,73,Volkswagen,MPV,True,77,Volkswagen,Multivan,60.0,18,30,33,63,../../compcars_cctv/extracted/data_extracted/data/image/73/463
138,464,Magotan estate,73,Volkswagen,estate,False,,,,41.67,5,12,15,27,../../compcars_cctv/extracted/data_extracted/data/image/73/464
139,465,Scirocco,73,Volkswagen,hatchback,True,70,Volkswagen,Scirocco,63.08,41,65,68,133,../../compcars_cctv/extracted/data_extracted/data/image/73/465
140,467,Touareg,73,Volkswagen,SUV,True,66,Volkswagen,Touareg,40.62,26,64,66,130,../../compcars_cctv/extracted/data_extracted/data/image/73/467
141,469,Sharan,73,Volkswagen,MPV,True,76,Volkswagen,Sharan,44.44,4,9,12,21,../../compcars_cctv/extracted/data_extracted/data/image/73/469
142,473,Variant,73,Volkswagen,estate,False,,,,29.41,5,17,20,37,../../compcars_cctv/extracted/data_extracted/data/image/73/473
143,491,Tiguan abroad version,73,Volkswagen,SUV,True,65,Volkswagen,Tiguan abroad version,41.67,10,24,26,50,../../compcars_cctv/extracted/data_extracted/data/image/73/491
144,500,Bora,73,Volkswagen,sedan,True,75,Volkswagen,Bora,29.17,21,72,75,147,../../compcars_cctv/extracted/data_extracted/data/image/73/500
145,501,Golf,73,Volkswagen,hatchback,False,,,,60.92,53,87,88,175,../../compcars_cctv/extracted/data_extracted/data/image/73/501
146,502,Golf GTI,73,Volkswagen,hatchback,False,,,,63.89,23,36,37,73,../../compcars_cctv/extracted/data_extracted/data/image/73/502
147,503,Jetta,73,Volkswagen,sedan,True,61,Volkswagen,Jetta,64.81,35,54,58,112,../../compcars_cctv/extracted/data_extracted/data/image/73/503
148,504,Magotan,73,Volkswagen,sedan,True,63,Volkswagen,Magotan,18.52,10,54,57,111,../../compcars_cctv/extracted/data_extracted/data/image/73/504
149,505,Sagitar,73,Volkswagen,sedan,True,73,Volkswagen,Sagitar,57.38,35,61,64,125,../../compcars_cctv/extracted/data_extracted/data/image/73/505
150,508,Volkswagen CC,73,Volkswagen,sedan,True,74,Volkswagen,Volkswagen CC,70.73,58,82,82,164,../../compcars_cctv/extracted/data_extracted/data/image/73/508
151,509,DS 5,4,DS,hatchback,False,,,,73.81,31,42,44,86,../../compcars_cctv/extracted/data_extracted/data/image/4/509
152,511,DS 5LS,4,DS,sedan,False,,,,46.15,6,13,17,30,../../compcars_cctv/extracted/data_extracted/data/image/4/511
153,512,DS 3,4,DS,convertible,False,,,,76.32,29,38,42,80,../../compcars_cctv/extracted/data_extracted/data/image/4/512
154,516,DS 4,4,DS,hatchback,False,,,,73.33,11,15,15,30,../../compcars_cctv/extracted/data_extracted/data/image/4/516
155,553,Lingzhi,36,Dongfengfengxing,MPV,False,,,,100.0,10,10,13,23,../../compcars_cctv/extracted/data_extracted/data/image/36/553
156,554,Jingyi,36,Dongfengfengxing,hatchback,False,,,,59.38,19,32,36,68,../../compcars_cctv/extracted/data_extracted/data/image/36/554
157,557,Fengshen CROSS,35,Dongfengfengshen,hatchback,False,,,,75.0,21,28,31,59,../../compcars_cctv/extracted/data_extracted/data/image/35/557
158,558,Fengshen H30,35,Dongfengfengshen,hatchback,False,,,,52.17,12,23,27,50,../../compcars_cctv/extracted/data_extracted/data/image/35/558
159,559,Fengshen S30,35,Dongfengfengshen,sedan,False,,,,38.78,19,49,53,102,../../compcars_cctv/extracted/data_extracted/data/image/35/559
160,563,Fengshen A60,35,Dongfengfengshen,sedan,True,192,Dongfengfengshen,Fengshen A60,68.18,15,22,24,46,../../compcars_cctv/extracted/data_extracted/data/image/35/563
161,567,Shuaike,34,Dongfengfengdu,MPV,True,276,Dongfengfengdu,Shuaike,84.85,28,33,36,69,../../compcars_cctv/extracted/data_extracted/data/image/34/567
162,586,Fiesta sedan,122,Ford,sedan,False,,,,73.33,22,30,32,62,../../compcars_cctv/extracted/data_extracted/data/image/122/586
163,587,Classic Focus hatchback,122,Ford,hatchback,False,,,,50.0,19,38,41,79,../../compcars_cctv/extracted/data_extracted/data/image/122/587
164,588,Classic Focus sedan,122,Ford,sedan,False,,,,36.73,18,49,50,99,../../compcars_cctv/extracted/data_extracted/data/image/122/588
165,589,S-MAX,122,Ford,MPV,True,42,Ford,S-MAX,85.71,12,14,17,31,../../compcars_cctv/extracted/data_extracted/data/image/122/589
166,590,New Focus hatchback,122,Ford,hatchback,False,,,,33.33,5,15,15,30,../../compcars_cctv/extracted/data_extracted/data/image/122/590
167,591,New Focus sedan,122,Ford,sedan,False,,,,57.14,8,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/122/591
168,593,Ecosport,122,Ford,unknown,True,44,Ford,Ecosport,86.21,25,29,30,59,../../compcars_cctv/extracted/data_extracted/data/image/122/593
169,595,Mendeo Zhisheng,122,Ford,sedan,False,,,,35.48,11,31,32,63,../../compcars_cctv/extracted/data_extracted/data/image/122/595
170,597,Fiesta hatchback,122,Ford,hatchback,False,,,,66.67,42,63,65,128,../../compcars_cctv/extracted/data_extracted/data/image/122/597
171,600,Focus ST,122,Ford,hatchback,False,,,,73.68,14,19,21,40,../../compcars_cctv/extracted/data_extracted/data/image/122/600
172,608,Mustang,122,Ford,sports,False,,,,74.14,43,58,62,120,../../compcars_cctv/extracted/data_extracted/data/image/122/608
173,641,Feixiang,134,FIAT,sedan,True,56,FIAT,Feixiang,43.75,7,16,21,37,../../compcars_cctv/extracted/data_extracted/data/image/134/641
174,642,Zhiyue,134,FIAT,hatchback,False,,,,15.38,2,13,17,30,../../compcars_cctv/extracted/data_extracted/data/image/134/642
175,645,Bravo,134,FIAT,hatchback,False,,,,37.93,11,29,31,60,../../compcars_cctv/extracted/data_extracted/data/image/134/645
176,661,FIAT 500,134,FIAT,hatchback,True,57,FIAT,FIAT 500,91.67,44,48,51,99,../../compcars_cctv/extracted/data_extracted/data/image/134/661
177,671,Qiteng M70,121,Fuqiqiteng,minibus,False,,,,92.86,13,14,16,30,../../compcars_cctv/extracted/data_extracted/data/image/121/671
178,674,Chuanqi GS5,87,Guangqichuanqi,SUV,True,45,Guangqichuanqi,Chuanqi GS5,83.33,25,30,34,64,../../compcars_cctv/extracted/data_extracted/data/image/87/674
179,688,Haval H3,71,Haval,SUV,False,,,,92.75,64,69,71,140,../../compcars_cctv/extracted/data_extracted/data/image/71/688
180,735,Wrangler,11,Jeep,SUV,True,266,Jeep,Wrangler,100.0,79,79,81,160,../../compcars_cctv/extracted/data_extracted/data/image/11/735
181,736,Compass,11,Jeep,SUV,True,263,Jeep,Compass,72.13,44,61,64,125,../../compcars_cctv/extracted/data_extracted/data/image/11/736
182,738,Patriot,11,Jeep,SUV,True,265,Jeep,Patriot,88.68,47,53,56,109,../../compcars_cctv/extracted/data_extracted/data/image/11/738
183,747,Gaguar XJ,92,Jaguar,sedan,True,206,Jaguar,Gaguar XJ,54.24,32,59,61,120,../../compcars_cctv/extracted/data_extracted/data/image/92/747
184,756,Gaguar XF,92,Jaguar,sedan,True,207,Jaguar,Gaguar XF,79.71,55,69,72,141,../../compcars_cctv/extracted/data_extracted/data/image/92/756
185,763,Seville SLS,53,Cadillac,sedan,True,220,Cadillac,Seville SLS,47.92,23,48,50,98,../../compcars_cctv/extracted/data_extracted/data/image/53/763
186,764,Cadillac XTS,53,Cadillac,unknown,True,218,Cadillac,Cadillac XTS,57.14,20,35,37,72,../../compcars_cctv/extracted/data_extracted/data/image/53/764
187,765,Cadillac CTS,53,Cadillac,sedan,True,221,Cadillac,Cadillac CTS,65.08,41,63,66,129,../../compcars_cctv/extracted/data_extracted/data/image/53/765
188,766,Cadillac ATS-L,53,Cadillac,sedan,False,,,,76.92,10,13,17,30,../../compcars_cctv/extracted/data_extracted/data/image/53/766
